deliveryDate,id,name,description,quantity,nOrders
2026-04-24,1,Spinach Baby,2 x 5 lb,1,1
2026-04-24,2,Blueberries,12 x 6 oz,3,2
2026-04-24,3,Broccoli Bunches,18 bunches,1,1
2026-04-24,4,Carrot,50 lb,5,3
2026-04-24,5,Celery Stalks,24 stalks,1,1
2026-04-24,6,Cucumber Medium,12 pieces,3,1
2026-04-24,7,Cucumber Large,12 pieces,2,1
2026-04-24,8,Tomato Grape Cherry,12 x 1 lb,6,4
2026-04-24,9,Grapes Green,18 lb,1,1
2026-04-24,10,Onion Green,48 bunches,2,2
2026-04-24,11,Pepper Green Jumbo,22 lb,2,2
2026-04-24,12,Lemon,113 pieces,4,4
2026-04-24,13,Lettuce Iceberg,24 heads,4,3
2026-04-24,14,Onion Red Large,25 lb,4,3
2026-04-24,15,Onion Cooking Medium,50 lb,1,1
2026-04-24,16,Pepper Orange,25 lb,1,1
2026-04-24,17,Potato Yukon Gold,50 lb,2,2
2026-04-24,18,Raspberries,12 x 6 oz,2,1
2026-04-24,19,Grapes Red,18 lb,1,1
2026-04-24,20,Pepper Red,25 lb,4,4
2026-04-24,21,Romaine Heart 3 Pack,12 packs,1,1
2026-04-24,22,Strawberries,8 x 1 lb,5,3
2026-04-24,23,Tomato 5x6,25 lb,1,1
2026-04-24,24,Tomato Beefsteak Hot House,15 lb,8,6
2026-04-24,25,Tomato on the Vine,11 lb,2,1
2026-04-24,26,Mushroom Portobello Local,5 lb,1,1
2026-04-24,27,Mushroom Button Local,5 lb,3,1
2026-04-24,28,Spring Mix Heritage,3 lb,2,2
2026-04-24,29,Garlic Peeled,3 lb,4,3
2026-04-24,30,Lettuce Iceberg Shredded,4 x 5 lb,4,2
2026-04-24,31,Banana Green,40 lb,11,2
2026-04-24,32,Radish Daikon,40 lb,1,1
2026-04-24,33,Broccoli Crown,20 lb,5,4
2026-04-24,34,Lettuce Green Leaf,24 heads,1,1
2026-04-24,35,Tomato Roma,25 lb,10,5
2026-04-24,36,Onion Shallot,10 lb,1,1
2026-04-24,37,Onion Spanish Jumbo,50 lb,3,3
2026-04-24,38,Pepper Jalapeno,10 lb,1,1
2026-04-24,39,Mushroom Brown Caps Local,5 lb,5,2
2026-04-24,40,Asparagus,11 lb,1,1
2026-04-24,41,Beet Red,25 lb,1,1
2026-04-24,42,Potato Russet,50 lb,6,3
2026-04-24,43,Spinach Baby,2 x 2 lb,1,1
2026-04-24,44,Onion Spanish Colossal,50 lb,1,1
2026-04-24,45,Garlic Peeled,6 x 3 lb,1,1
2026-04-24,46,Potato Sweet,40 lb,2,2
2026-04-24,47,Broccolini / Aspiration,18 bunches,2,1
2026-04-24,48,Tomato Heirloom,10 lb,2,2
2026-04-24,49,Cantaloupe,12 pieces,1,1
2026-04-24,50,Cabbage Red,16 heads,1,1
2026-04-24,51,Onion Medium Bagged,24 x 2 lb,1,1
2026-04-24,52,Caesar Salad Kit,6 x 278 g,1,1
2026-04-24,53,Beans Fine French,14 x 400 g,1,1
2026-04-24,54,Zucchini Green,20 lb,4,3
2026-04-24,55,Romaine Lettuce,24 pieces,2,2
2026-04-24,56,Chopped Kit Broccoli Crunch,6 x 12.7 oz,1,1
2026-04-24,57,Chopped Kit Sweet Kale,6 x 12 oz,1,1
2026-04-24,58,Lime,54 pieces,3,3
2026-04-24,59,Ginger Root,10 lb,1,1
2026-04-24,60,Lemon,88 pieces,1,1
2026-04-24,61,Orange Navel,50 pieces,1,1
2026-04-24,62,Cabbage Green,16 heads,2,2
2026-04-24,63,Squash Butternut,40 lb,1,1
2026-04-24,64,Coriander / Cilantro Washed,4 x 1 lb,1,1
2026-04-24,65,Romaine Heart 3 Pack Andy Boy,12 packs,2,1
2026-04-24,66,Mushroom White Packs Local,12 x 8 oz,2,1
2026-04-24,67,Mushroom White Choice Local,5 lb,5,1
2026-04-24,68,Spinach Baby Organic Salad,8 x 5 oz,1,1
2026-04-24,69,Spring Mix Organic Salad,8 x 5 oz,1,1
2026-04-24,70,Lime,230 pieces,1,1
2026-04-24,71,Onion Red,10 lb,1,1
2026-04-24,72,Thyme,12 bunches,1,1
2026-04-24,73,Guava,2 kg,1,1
2026-04-24,74,Cucumber Medium Choice,14 pieces,23,9
2026-04-24,75,Orange Navel Bagged,8 x 3 lb,1,1
2026-04-24,76,Mushroom White Sliced Packs Local,12 x 8 oz,1,1
2026-04-24,77,Pepper Rainbow 4 Pack,9 packs,2,1
2026-04-24,78,Avocado Medium,16 pieces,5,3
2026-04-24,79,Spinach,24 bunches,1,1
2026-04-24,80,Apple Idared Local,113 pieces,2,1
2026-04-24,81,Pea Shoots Living Local,6 packs,1,1
2026-04-24,82,Arugula Baby,2 lb,2,2
2026-04-24,83,Potato White,10 lb,12,1
2026-04-24,84,Coriander / Cilantro,6 x 40 g,1,1
2026-04-24,85,Parsley Flat,6 x 40 g,1,1
2026-04-24,86,Potato Russet Local,70 pieces,1,1
2026-04-24,87,Romaine Lettuce Andy Boy,24 pieces,2,2
2026-04-24,88,Mushroom Shiitake Local,3 lb,1,1
2026-04-24,89,Clementines Choice,30 lb,5,1
2026-04-24,90,Eggplant Choice,25 lb,2,1
2026-04-24,91,Potato White Medium,50 lb,1,1
2026-04-24,92,Spring Mix Local,3 lb,1,1
2026-04-24,93,Onion Sweet Colossal,40 lb,1,1
2026-04-24,94,Potato Red,10 lb,6,1
2026-04-24,95,Banana Green Organic,40 lb,12,1
